Process Time [min],Average emission wavelength [nm],Integral,#Empty,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
71.6667,335.8622027141602,418106.27,,0.36502540837407915,0.25185058975458224,0.2325743011610868,335.8622027141602,-0.7769036694365923
72.9667,335.8568931965017,416987.495,,0.24505466116299898,0.2681762314546143,0.25185235938647815,335.8568931965017,-0.7822131870951239
74.2667,335.8494993703056,416259.155,,0.3412535167434227,0.26803993995451547,0.2623772484037872,335.8494993703056,-0.7896070132912314
75.5833,335.8461694985642,415489.36,,0.15174867422256982,0.1956967795144057,0.23011437087890338,335.8461694985642,-0.7929368850325886
76.8833,335.8446984678168,414644.17,,0.06789372680486831,0.17780259277076746,0.19251265581419474,335.8446984678168,-0.7944079157800275
78.2,335.83693098854,413993.635,,0.3539521201533473,0.19490163703151736,0.1919320759229131,335.83693098854,-0.8021753950567927
79.5,335.8347984267338,413227.43,,0.09842592951722234,0.20140133660384396,0.19296134017941569,335.8347984267338,-0.8043079568629992
80.8,335.8305444034533,412483.29,,0.1963395360235149,0.15732960272346652,0.1688033463117858,335.8305444034533,-0.8085619801435087
82.1,335.825819446952,411889.115,,0.21807491544555493,0.11672912070676687,0.14430427548208868,335.825819446952,-0.813286936644829
83.4167,335.8225610090901,411340.1850000001,,0.14848201694506136,0.1098511780260899,0.1311897416473375,335.8225610090901,-0.8165453745066884
84.7333,335.8219974377022,410641.29,,0.025683034540915972,0.15297169157953128,0.12983745184395445,335.8219974377022,-0.8171089458946312
86.0333,335.8222645813339,410033.8199999999,,0.0,0.19013544182169248,0.16156062842597366,335.8222645813339,-0.8168418022628998
87.3333,335.814901339827,409400.535,,0.3398419157047792,0.1815715341803175,0.18909456447366324,335.814901339827,-0.8242050437698367
88.65,335.8063625799343,408483.495,,0.3890981951561323,0.1887924743020388,0.18805242809024214,335.8063625799343,-0.8327438036625381
89.9667,335.8026883041707,407904.385,,0.16743111248839948,0.19925075598393685,0.18601295535660967,335.8026883041707,-0.836418079426096
