Time,Average emission wavelength [nm],Integral,#Empty,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
107.16669999999999,335.8563057344938,224989.0475,,0.24638640765139702,0.0,0.03340171296301264,335.8563057344938,-0.8293488037049883
108.75,335.8552332601586,224646.7825,,0.04064198832161502,0.0,0.0,335.8552332601586,-0.8304212780401485
110.33339999999998,335.8668002587023,224664.8815,,0.0,0.02228420911232021,0.0,335.8668002587023,-0.8188542794964633
111.89999999999999,335.8579261815453,224456.716,,0.33987273676872665,0.03423398736040446,0.0,335.8579261815453,-0.8277283566534948
113.48339999999999,335.8527791086753,224454.84,,0.19503875975703872,0.03135062372114331,0.26439552890570894,335.8527791086753,-0.832875429523483
115.04999999999998,335.8687266616187,224590.0875,,0.0,0.05534316632292211,0.4094627509845168,335.8687266616187,-0.8169278765800527
115.83333299999998,335.8445908525486,225692.043,,1.8487010558817416,0.10629315530762641,0.3551447016733391,335.8445908525486,-0.8410636856501696
117.39999999999998,335.8563146418126,225309.3205,,0.0,0.07209094605113416,0.23857268849678803,335.8563146418126,-0.8293398963861591
118.98332999999998,335.8553687269011,224930.3725,,0.03584527211156457,0.06018812301974607,0.0,335.8553687269011,-0.8302858112976992
120.54999999999998,335.8507791505613,225076.0955,,0.1757706347764573,0.10173711463502202,0.0697003617158174,335.8507791505613,-0.8348753876374531
122.13332999999999,335.847605336175,225034.6855,,0.12027111415852293,0.051538175732624404,0.1918618334451594,335.847605336175,-0.8380492020237966
123.71666999999998,335.8447948676816,224829.0835,,0.10650151553112971,0.10490192553193375,0.10336077889539297,335.8447948676816,-0.8408596705171476
125.29999999999998,335.8395451600358,225050.2365,,0.19893670855033413,0.15029103354294332,0.03197067860065772,335.8395451600358,-0.8461093781629643
126.86669999999998,335.8478613078309,224903.957,,0.0,0.07423550404189591,0.052005325929883384,335.8478613078309,-0.837793230367879
128.45,335.8366150662056,224506.98,,0.4261823391138141,0.03367131282195344,0.14643070422516757,335.8366150662056,-0.8490394719931942
130.0333,335.8353725930227,224540.8965,,0.0470841855437109,0.04645536424882998,0.11389384037448735,335.8353725930227,-0.8502819451760502
131.6,335.8294673515054,224769.6925,,0.22615337399599994,0.0003937190293541001,0.0,335.8294673515054,-0.8561871866933757
133.1667,335.8478454946053,224052.276,,0.0,0.0,0.0,335.8478454946053,-0.8378090435934951
134.73329999999999,335.8330047884966,224194.699,,0.568391654870059,0.044692722006669766,0.009809258715343105,335.8330047884966,-0.8526497497021523
136.31669999999997,335.8369807610412,224686.347,,0.0,0.044210112155795254,0.10438567513244834,335.8369807610412,-0.8486737771575577
137.89999999999998,335.8285131561844,224440.8435,,0.32088441319393624,0.14195827934709,0.10949942938627544,335.8285131561844,-0.8571413820143903
139.46669999999997,335.8359216205003,224560.801,,0.0,0.14685698261755448,0.14977941263381922,335.8359216205003,-0.8497329176984749
141.04999999999998,335.819139251979,224360.8655,,0.6359768276884643,0.1656898143869674,0.13104227692983272,335.819139251979,-0.8665152862197942
142.61669999999998,335.821756239224,224182.4615,,0.0,0.08313608496062475,0.08762386156192292,335.821756239224,-0.8638982989747888
